Gene,mannwhitneyu pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,l2fc
Clcn1,1.0820201699924145e-12,2.3624897704799253e-08,2.337278637298823e-08,2.3372717692006148e-08,2.3371635671836155e-08,2.298968255182883e-08,9.973944649117865e-11,1.054092573245809e-09,4.379417759049783e-11,4.654027854580479e-11,-0.3530859756097575
Clcn2,0.001703360173240366,0.9999999999999999,0.9999999999513911,1.0,0.5,0.5,0.00469566760175963,0.04962598570149026,0.002061801103694677,0.002191085732200576,-0.09933536585365843
Clcn3,0.02210310472136232,1.0,1.0,1.0,0.5,0.5,0.04099061942716013,0.43320781326710445,0.0179984001304472,0.019126984488266992,0.08608536585365734
Clcn4-2,0.0032582165406911633,1.0,1.0,1.0,0.5,0.5,0.00816500071945914,0.0862915017248444,0.003585136113284546,0.0038099410130968967,0.06002134146341476
Clcn5,0.00033027658740056195,0.9992626516563208,0.9941121952983122,1.0,0.5,0.5,0.0011454315564879444,0.012105450143661226,0.0005029427650476286,0.0005344796424032541,-0.11811463414634105
Clcn6,0.05678340861207343,1.0,1.0,1.0,0.5,0.5,0.09042906346293508,0.9556961418497981,0.03970612033613441,0.04219588087019795,0.06625304878048688
Clcn7,3.0562589113188815e-10,6.6730127189496e-06,6.420261789097381e-06,6.4202830950075745e-06,6.4202830950075745e-06,6.1549998215050955e-06,8.043365200516368e-09,8.500600133687286e-08,3.5317276805601545e-09,3.753183620392087e-09,-0.23793475609755887
Clcnka,0.00023682671755749808,0.9943238775604363,0.9765277184462076,1.0,0.5,0.5,0.0008603466624371292,0.00909254120807664,0.00037776602788242,0.00040145373495048265,-0.12320304878048738
Clcnkb,0.07484059404783247,1.0,1.0,1.0,0.5,0.5,0.11355316780749465,1.0,0.04985958687232991,0.052986017523034105,-0.06371341463414648
Cldn1,0.0002411061053193612,0.9948303248924103,0.9779285963008264,1.0,0.5,0.5,0.0008735834157677603,0.009232433335720833,0.0003835780986976971,0.0004076302499475271,0.18933109756097544
Cldn10,7.887472891074919e-05,0.8213307149755553,0.7310307653061578,1.0,0.5,0.49977191157008943,0.0003320128843333907,0.003508865628492333,0.0001457821527024007,0.00015492337947793509,0.14123109756097474
Cldn11,1.6781917211053559e-06,0.03597848753482047,0.03111605860202382,0.03161041925874048,0.03161041925874048,0.025025194945123067,1.2203822340095053e-05,0.00012897563548283,5.358525454542973e-06,5.694530208584749e-06,0.18242134146341282
Cldn12,0.42692552370336284,1.0,1.0,1.0,0.5,0.5,0.4473331179334131,1.0,0.19641763312391827,0.2087339427257169,-0.01863963414633929
Cldn13,0.0004889073330334464,0.9999769400463929,0.9994087060893694,1.0,0.5,0.5,0.0016072444975297935,0.01698610276914047,0.0007057182833112636,0.0007499701395762648,0.1470439024390231
Cldn14,0.07551387766764306,1.0,1.0,1.0,0.5,0.5,0.1144624691286015,1.0,0.05025884819711929,0.05341031441112766,-0.04979024390243758
Cldn15,0.005599882198474756,1.0,1.0,1.0,0.5,0.5,0.012993288667627782,0.13731908054850414,0.005705168931782886,0.006062909862558028,0.13332317073170863
Cldn16,1.3537682170426481e-08,0.00029553807511717434,0.0002753320846055063,0.00027536999302864507,0.00027536999302864507,0.0002523288579745792,1.9749508772019874e-07,2.0872193755035846e-06,8.67172944020127e-08,9.215487670406443e-08,-0.24124573170731622
Cldn17,9.667722371708649e-10,2.1108281831550002e-05,2.015796434939876e-05,2.0158167917249704e-05,2.0157201145012532e-05,1.9130489029137075e-05,2.127951510010726e-08,2.248917516429065e-07,9.343533537818462e-09,9.929417045303554e-09,0.2874042682926836
Cldn18,2.403361142335551e-10,5.247484298642746e-06,5.059302114363007e-06,5.0593155407305685e-06,5.059075204616335e-06,4.856471860317448e-06,6.6737059667510465e-09,7.053080945461932e-08,2.930329719851712e-09,3.1140751783985834e-09,-0.32309695121951254
Cldn19,9.394240210969068e-10,2.0511172898585173e-05,1.9590555854209768e-05,1.9590748535954893e-05,1.9590748535954893e-05,1.859871676967656e-05,2.0891725854435573e-08,2.207934156461926e-07,9.173260775234672e-09,9.748467379493808e-09,-0.2816640243902455
Cldn2,9.128307132852885e-10,1.993054689508611e-05,1.904055430457241e-05,1.9040735848417834e-05,1.9040735848417834e-05,1.8079525107328426e-05,2.0420846100277652e-08,2.1581694074873488e-07,8.966504147813586e-09,9.528746138890893e-09,-0.4513774390243892
Cldn20,8.253198320957726e-06,0.1648977242959948,0.13832042972781466,0.14887119131343546,0.14887119131343546,0.10386365152614975,4.7451327161308214e-05,0.0005014875589450552,2.083520534466712e-05,2.2141670734564546e-05,0.26062926829268207
Cldn22,0.43620751678913916,1.0,1.0,1.0,0.5,0.5,0.4542031622016876,1.0,0.1994341722097453,0.2119396330028911,-0.013541463414632915
Cldn23,0.43063158246408945,1.0,1.0,1.0,0.5,0.5,0.4502032376825675,1.0,0.19767786203456877,0.21007319391754373,-0.013067682926828361
